GA,seconds
0,14.4095576
1,11.4510513
2,11.2779745
3,11.5620354
4,11.545253
5,11.4913067
6,11.592931
7,11.4780926
8,19.327985
9,14.844346
10,11.5526934
11,11.4185115
12,11.5659069
13,11.4840787
14,11.4972695
15,11.4961904
16,11.6116062
17,11.4379893
18,11.5516158
19,11.5023838
20,11.4060688
21,11.45909
22,11.388014
23,11.5946568
24,11.5358984
25,11.5242411
26,11.4569745
27,11.5061694
28,11.4400281
29,11.5367399
