GA,seconds
0,10.6558293
1,9.0830239
2,9.1299765
3,9.1450641
4,9.2419168
5,9.1281934
6,9.1600817
7,9.0650607
8,9.1068912
9,9.1074046
10,9.0988114
11,9.1880908
12,9.2773897
13,9.2727068
14,8.9877541
15,9.0827099
16,9.0782424
17,9.1754821
18,9.1966184
19,9.172177
20,9.2588347
21,9.2302964
22,9.1891137
23,9.2186399
24,9.1585653
25,9.2169757
26,9.1385682
27,9.1306174
28,9.148139
29,13.6666008
