GA,seconds
0,10.4082134
1,8.7207689
2,8.7529468
3,8.7346635
4,8.7379554
5,8.7046075
6,8.7733775
7,8.7517304
8,8.6863213
9,8.7553776
10,8.7458327
11,8.7165882
12,8.7424878
13,8.767512
14,8.7229281
15,8.7107183
16,8.7803432
17,8.7205426
18,8.7577958
19,8.7215586
20,8.7702904
21,8.7295278
22,8.7319721
23,8.7010874
24,8.716501
25,8.7564706
26,8.7278363
27,8.7266172
28,8.7412715
29,8.6991109
