GA,seconds
0,16.5933086
1,18.6005777
2,12.9917913
3,13.0205284
4,12.9926352
5,12.9812276
6,12.944426
7,12.9685951
8,12.9451369
9,12.9006312
10,12.9469492
11,12.9001647
12,12.9063823
13,12.8894158
14,12.9001431
15,13.0149749
16,12.9825065
17,12.9628805
18,12.9088806
19,12.8959641
20,13.0343349
21,12.9095357
22,12.9157263
23,12.9069025
24,12.9482005
25,12.9191002
26,12.9035008
27,12.8907626
28,12.8956856
29,12.9425612
