GA,seconds
0,9.368596
1,8.0840538
2,8.1060098
3,8.0780096
4,8.091245
5,8.0844474
6,8.0774441
7,8.0951551
8,8.0964395
9,8.0864471
10,8.0780641
11,8.0749912
12,8.1082531
13,8.0129739
14,7.9465565
15,7.9386759
16,7.9636917
17,7.9447371
18,7.9660645
19,7.9464386
20,7.9561177
21,7.9701693
22,8.0107719
23,7.9458448
24,7.992777
25,7.9758752
26,7.9890494
27,7.9867218
28,7.9848052
29,7.9492072
