GA,seconds
0,8.971918
1,7.785172
2,7.7618655
3,7.7744713
4,7.7305708
5,7.7623873
6,7.7757641
7,7.7461146
8,7.733789
9,7.7571924
10,7.7892818
11,7.7564862
12,7.7680776
13,7.7670707
14,7.7852158
15,7.8162873
16,7.7517029
17,7.7479254
18,7.7517978
19,7.7823782
20,7.7694505
21,7.7395612
22,7.7678451
23,7.7876096
24,7.7532895
25,7.7673695
26,7.7871091
27,7.7768039
28,7.7217643
29,7.8000371
